sr,nsecode,name,bsecode,close,per_chg,volume
1,LUMAXIND,Lumax Industries Limited,517206,6000.0,6.09,99574
2,TCPLPACK,TCPL Packaging Ltd,523301,3820.0,15.75,68998
3,LUMAXTECH,Lumax Auto Technologies Limited,532796,2076.3,19.45,5661267
4,BIRLANU,BirlaNu Ltd,509675,1684.8,4.82,92198
5,ENTERO,Entero Healthcare Solutions Ltd,544122,1427.2,8.52,613776
6,POLYPLEX,Polyplex Corporation Limited,524051,1229.6,4.23,461853
7,DIVGIITTS,Divgi Torqtransfer Systems Ltd,543812,1076.4,1.91,157986
8,WINDLAS,Windlas Biotech Ltd,543329,943.1,12.32,2342310
9,GANDHITUBE,Gandhi Special Tubes Limited,513108,928.0,5.2,58650
10,AARTIPHARM,Aarti Pharmalabs Ltd,543748,883.7,7.38,14873286
11,AKUMS,Akums Drugs & Pharmaceuticals Ltd,544222,760.95,4.23,1147819
12,HCG,Healthcare Global Enterprises Limited,539787,738.95,3.26,545536
13,FAZE3Q,Faze Three Ltd,530079,610.0,6.91,157079
14,MATRIMONY,Matrimony.com Ltd,540704,530.0,10.34,1199074
15,KOLTEPATIL,Kolte - Patil Developers Limited,532924,516.6,11.77,12115889
16,PANACHE,Panache Digilife Ltd,538424,505.5,5.0,49967
17,SANATHAN,Sanathan Textiles Ltd,544314,505.0,4.79,256946
18,AARTIDRUGS,Aarti Drugs Limited,524348,439.2,3.94,1384949
19,DOLPHIN,Dolphin Offshore Enterprises (India) Ltd,522261,437.1,4.69,64918
20,GEECEE,Geecee Ventures Limited,532764,386.0,3.79,9476
21,STYLEBAAZA,Baazar Style Retail Ltd,544243,353.45,4.99,1709664
22,VALIANTORG,Valiant Organics Ltd,540145,308.1,3.48,84517
23,VRLLOG,Vrl Logistics Limited,539118,305.25,7.14,1925689
24,SETL,Standard Enginnering Technology Ltd,544333,297.3,4.78,2175257
25,INDSWFTLAB,Ind-swift Laboratories Limited,532305,284.68,20.0,9123251
26,BIRLACABLE,Birla Cable Limited,500060,280.26,5.0,220910
27,ORBTEXP,Orbit Exports Limited,512626,275.5,3.83,57888
28,UEL,Ujaas Energy Ltd,533644,273.12,0.91,135937
29,SAPPHIRE,Sapphire Foods India Ltd,543397,236.02,6.98,12485494
30,ROLEXRINGS,Rolex Rings Ltd,543325,177.29,14.19,56026330
31,SPECIALITY,Speciality Restaurants Limited,534425,158.2,5.36,653635
32,LAXMIINDIA,Laxmi India Finance Ltd,544465,140.0,4.25,256253
33,TNPETRO,Tamilnadu Petroproducts Limited,500777,103.77,4.24,780486
34,IRISDOREME,Iris Clothings Ltd,535123,56.75,1.76,2461416
35,CENTRUM,Centrum Capital Ltd,501150,26.89,2.44,975210
